cip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,sload,dload,spkts,dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,sjit,djit,stime,ltime,sintpkt,dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src__ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm
0.0,59692,0.0,53,udp,INT,0.004156827926635742,70,146,128,124,0,0,dns,16839.76369371953,35122.93570404359,1,1,0,0,0,0,70.0,146.0,0,0,0.0,0.0,1771531377.178209,1771531377.182366,0.0,0.0,0.0,0.0,0.0,0,16,0,0,0,13,13,13,33,13,1,13
0.0,64715,0.0,53,udp,INT,0.0036759376525878906,70,102,128,124,0,0,dns,19042.760409910494,27748.022311583863,1,1,0,0,0,0,70.0,102.0,0,0,0.0,0.0,1771531377.17869,1771531377.182366,0.0,0.0,0.0,0.0,0.0,0,16,0,0,0,13,13,13,33,13,1,13
0.0,51179,0.0,443,tcp,ACC,0.08433389663696289,1948,178,128,121,0,0,https,23098.659941988342,2110.657838641645,4,3,259,1065,930764344,4153657598,487.0,59.333333333333336,0,0,0.019516651249953942,0.0024265050888061523,1771531377.183465,1771531377.267799,0.014281988143920898,0.021289467811584473,0.041877031326293945,0.08433389663696289,0.041877031326293945,0,17,0,0,0,18,4,4,33,18,1,4
0.0,51180,0.0,443,tcp,ACC,0.07534408569335938,1980,178,128,120,0,0,https,26279.43496531821,2362.494658498304,4,3,259,1048,482377151,528568172,495.0,59.333333333333336,0,0,0.017259169146286068,0.0033025741577148438,1771531377.249872,1771531377.325216,0.012542009353637695,0.01924753189086914,0.036947011947631836,0.07534408569335938,0.036947011947631836,0,17,0,0,0,18,4,4,33,18,1,4
0.0,51163,0.0,443,tcp,ACC,17.84762692451477,1629,1056,128,120,0,0,https,91.27263847959934,59.167529916793676,10,13,512,1126,1294615231,1270066293,162.9,81.23076923076923,0,0,5.395390439660007,4.751556727194331,1771531377.559245,1771531395.406872,1.9787986543443468,1.4841397603352864,0.0,0.0,0.0,0,17,0,0,0,18,1,1,33,18,1,1
0.0,51142,0.0,443,tcp,ACC,31.35254406929016,8541,2323,128,55,0,0,https,272.4180845141022,74.09287089641252,14,17,508,16,1556000911,3341068126,610.0714285714286,136.64705882352942,0,0,8.168481578508485,7.412061851281916,1771531377.803967,1771531409.156511,2.4068499161646915,1.9581968188285828,0.0,0.0,0.0,0,17,0,0,0,18,1,1,33,18,1,1
0.0,65010,0.0,53,udp,INT,0.0032889842987060547,76,144,128,124,0,0,dns,23107.437767306994,43782.51366437115,1,1,0,0,0,0,76.0,144.0,0,0,0.0,0.0,1771531377.818552,1771531377.821841,0.0,0.0,0.0,0.0,0.0,0,16,0,0,0,13,13,13,33,13,1,13
0.0,5353,0.0,5353,udp,INT,33.075443983078,8362,0,1,0,0,0,other,252.8159562809845,0.0,43,0,0,0,0,0,194.46511627906978,0.0,0,0,1.880412878269144,0.0,1771531377.88591,1771531410.961354,0.7875105710256667,0.0,0.0,0.0,0.0,1,14,0,0,0,1,27,27,1,1,27,1
0.0,57621,0.0,57621,udp,INT,29.92069983482361,164,0,64,0,0,0,other,5.4811552171358775,0.0,2,0,0,0,0,0,82.0,0.0,0,0,0.0,0.0,1771531377.988531,1771531407.909231,29.92069983482361,0.0,0.0,0.0,0.0,1,3,0,0,0,2,6,6,2,1,5,1
0.0,50540,0.0,53,udp,INT,0.003147125244140625,80,167,128,124,0,0,dns,25420.024242424242,53064.300606060606,1,1,0,0,0,0,80.0,167.0,0,0,0.0,0.0,1771531378.0888,1771531378.091947,0.0,0.0,0.0,0.0,0.0,0,16,0,0,0,13,13,13,33,13,1,13
0.0,51506,0.0,53,udp,INT,0.0026700496673583984,80,126,128,124,0,0,dns,29961.98946334494,47190.13340476828,1,1,0,0,0,0,80.0,126.0,0,0,0.0,0.0,1771531378.089277,1771531378.091947,0.0,0.0,0.0,0.0,0.0,0,16,0,0,0,13,13,13,33,13,1,13
0.0,51181,0.0,443,tcp,ACC,0.41433000564575195,6885,4396,128,121,0,0,https,16617.188970587387,10609.900176427329,19,21,512,1034,3873160210,805884606,362.36842105263156,209.33333333333334,0,0,0.043944014819289015,0.03055828484832413,1771531378.092846,1771531378.507176,0.02301833364698622,0.017990303039550782,0.03921198844909668,0.3988761901855469,0.03921198844909668,0,17,0,0,0,18,1,1,33,18,1,1
0.0,52214,0.0,53,udp,INT,0.09980607032775879,98,212,128,124,0,0,dns,981.9042036037715,2124.119297591832,1,1,0,0,0,0,98.0,212.0,0,0,0.0,0.0,1771531379.133188,1771531379.232994,0.0,0.0,0.0,0.0,0.0,0,16,0,0,0,13,13,13,33,13,1,13
0.0,5353,0.0,5353,udp,INT,15.8437340259552,580,0,255,0,0,0,other,36.60753197761615,0.0,2,0,0,0,0,0,290.0,0.0,0,0,0.0,0.0,1771531379.142963,1771531394.986697,15.8437340259552,0.0,0.0,0.0,0.0,1,24,0,0,0,1,27,27,1,1,27,1
0.0,51182,0.0,443,tcp,RST,1.4129400253295898,4602,7167,128,45,0,0,https,3257.038457047399,5072.402134215277,12,13,513,0,1516700794,1277763444,383.5,551.3076923076923,0,0,0.13435118556535058,0.13221857699205705,1771531379.233986,1771531380.646926,0.10272546248002486,0.09402040640513103,0.2848081588745117,1.1284990310668945,0.2848081588745117,0,3,0,0,0,18,1,1,33,18,1,1
0.0,63623,0.0,53,udp,INT,0.10951399803161621,72,139,128,124,0,0,dns,657.450200833814,1269.2441377208356,1,1,0,0,0,0,72.0,139.0,0,0,0.0,0.0,1771531379.799728,1771531379.909242,0.0,0.0,0.0,0.0,0.0,0,16,0,0,0,13,13,13,33,13,1,13
0.0,51604,0.0,53,udp,INT,0.10823202133178711,72,155,128,124,0,0,dns,665.2375065534698,1432.1085210526085,1,1,0,0,0,0,72.0,155.0,0,0,0.0,0.0,1771531379.800317,1771531379.908549,0.0,0.0,0.0,0.0,0.0,0,16,0,0,0,13,13,13,33,13,1,13
0.0,51183,0.0,443,tcp,ACC,10.076281070709229,3650,6983,128,43,0,0,https,362.23681876145713,693.0136179208918,11,11,516,501,1897792419,3084912219,331.8181818181818,634.8181818181819,0,0,2.783588864894788,2.8048650467363863,1771531379.910166,1771531389.986447,1.0076281070709228,0.9851243019104003,0.22506403923034668,10.076211929321289,0.22506403923034668,0,17,0,0,0,18,1,1,33,18,1,1
0.0,55334,0.0,53,udp,INT,0.003879070281982422,70,146,128,124,0,0,dns,18045.561155500924,37637.884695759065,1,1,0,0,0,0,70.0,146.0,0,0,0.0,0.0,1771531381.112031,1771531381.11591,0.0,0.0,0.0,0.0,0.0,0,16,0,0,0,13,13,13,33,13,1,13
0.0,57384,0.0,53,udp,INT,0.00347900390625,70,102,128,124,0,0,dns,20120.701754385966,29318.736842105263,1,1,0,0,0,0,70.0,102.0,0,0,0.0,0.0,1771531381.112431,1771531381.11591,0.0,0.0,0.0,0.0,0.0,0,16,0,0,0,13,13,13,33,13,1,13
0.0,51184,0.0,443,tcp,ACC,0.09713983535766602,2012,178,128,120,0,0,https,20712.40899875808,1832.409941242017,4,3,512,1048,2331385415,2254221457,503.0,59.333333333333336,0,0,0.022658014733389985,2.5272369384765625e-05,1771531381.11697,1771531381.21411,0.016327619552612305,0.024425506591796875,0.04836893081665039,0.09713983535766602,0.04836893081665039,0,17,0,0,0,18,5,5,33,18,1,5
0.0,5353,0.0,5353,udp,INT,1e-06,289,0,255,0,0,0,other,289000000.0,0.0,1,0,0,0,0,0,289.0,0.0,0,0,0.0,0.0,1771531381.162609,1771531381.162609,0.0,0.0,0.0,0.0,0.0,1,24,0,0,0,2,27,27,2,1,27,1
